athlete_id,name,birth_year,birth_city,birth_state,height,weight,sport_clean,is_paralympic
106000,Erinn Smart,1980,Brooklyn,NY,170 cm,66 kg,Fencing,False
105979,Mariel Zagunis,1985,Portland,OR,173 cm,72 kg,Fencing,False
105967,Sada Jacobson,1983,Rochester,MN,170 cm,70 kg,Fencing,False
105970,Emily Jacobson,1985,Decatur,GA,165 cm,65 kg,Fencing,False
102643,Cat Reddick,1982,Richmond,VA,170 cm,68 kg,Football,False
102644,Shannon Boxx,1977,Fontana,CA,172 cm,67 kg,Football,False
102646,Abby Wambach,1980,Pittsford,NY,180 cm,81 kg,Football,False
103033,Heather Mitts,1978,Cincinnati,OH,165 cm,55 kg,Football,False
102649,Lindsay Tarpley,1983,Madison,WI,165 cm,58 kg,Football,False
102648,Angela Hucles,1978,Virginia Beach,VA,170 cm,63 kg,Football,False
103034,Heather O'Reilly,1985,New Brunswick,NJ,165 cm,60 kg,Football,False
111211,Hope Solo,1981,Richland,WA,175 cm,69 kg,Football,False
700761,Kristin Luckenbill,1979,Anaheim,CA,175 cm,,Football,False
106658,Taraje Williams-Murray,1984,Bronx,NY,170 cm,66 kg,Judo,False
106709,Rick Hawn,1976,Eugene,OR,175 cm,81 kg,Judo,False
106759,Rhadi Ferguson,1973,Rockville,MD,175 cm,99 kg,Judo,False
106390,Charlee Minkin,1981,San Francisco,CA,160 cm,52 kg,Judo,False
106425,Ronda Rousey,1987,Santa Monica,CA,170 cm,70 kg,Judo,False
106445,Nikki Kubes,1986,Fort Worth,TX,182 cm,78 kg,Judo,False
107434,Anita Allen,1977,Star City,IN,160 cm,58 kg,Modern Pentathlon,False
104325,Aquil Abdullah,1973,Washington,DC,187 cm,83 kg,Rowing,False
104310,Luke Walton,1979,Poway,CA,190 cm,83 kg,Rowing,False
104437,Ben Holbrook,1974,Princeton,NJ,187 cm,90 kg,Rowing,False
104438,Brett Wilkinson,1976,Hyde Park,NY,182 cm,81 kg,Rowing,False
104439,Sloan DuRoss,1976,Hanover,NH,198 cm,97 kg,Rowing,False
104440,Kent Smack,1975,Flemington,NJ,195 cm,90 kg,Rowing,False
104352,Garrett Klugh,1974,Los Angeles,CA,190 cm,92 kg,Rowing,False
104353,Jamie Schroeder,1981,Wilmette,IL,206 cm,102 kg,Rowing,False
104499,Jason Read,1977,Flemington,NJ,185 cm,83 kg,Rowing,False
104500,Wyatt Allen,1979,Baltimore,MD,193 cm,98 kg,Rowing,False
104501,Joey Hansen,1979,Reno,NV,198 cm,97 kg,Rowing,False
104502,Matt Deakin,1980,San Francisco,CA,193 cm,90 kg,Rowing,False
104503,Dan Beery,1975,Vincennes,IN,200 cm,97 kg,Rowing,False
104504,Beau Hoopman,1980,Sheboygan,WI,193 cm,91 kg,Rowing,False
104426,Pat Todd,1979,Danbury,CT,180 cm,72 kg,Rowing,False
104427,Matt Smith,1977,Woodbridge,VA,182 cm,74 kg,Rowing,False
104428,Steve Warner,1978,Livonia,MI,190 cm,72 kg,Rowing,False
104173,Kate Mackenzie,1975,Novi,MI,177 cm,76 kg,Rowing,False
104229,Michelle Guerette,1980,Bristol,CT,180 cm,77 kg,Rowing,False
104230,Danika Holbrook-Harris,1972,Durham,NH,172 cm,68 kg,Rowing,False
104237,Kate Johnson,1978,Portland,OR,177 cm,74 kg,Rowing,False
104238,Sam Magee,1983,Hartford,CT,182 cm,83 kg,Rowing,False
104244,Mary Whipple,1980,Sacramento,CA,160 cm,48 kg,Rowing,False
