hometown_id,city_name,state_code,latitude,longitude,state_latitude,state_longitude,total_athletes,ht_name,region,elevation,distance_to_west_coast_km,distance_to_east_coast_km,distance_to_nearest_coast_km,climate_zone
HT_PA_McSherrystown,McSherrystown,PA,39.8038439,-77.019242,40.5908,-77.2098,1,"McSherrystown, PA",Northeast,171.0,3908.407667639094,275.47499421875375,275.47499421875375,Subtropical
HT_WA_Mead,Mead,WA,47.7782105,-117.3491954,47.4009,-121.4905,1,"Mead, WA",West,576.0,1185.508310003667,3501.4007979490725,374.48101305096964,Cold Temperate
HT_PA_Meadville,Meadville,PA,41.641445,-80.151449,40.5908,-77.2098,1,"Meadville, PA",Northeast,335.0,3613.6352695473006,525.7506747131647,525.7506747131647,Temperate
HT_PA_Mechanicsburg,Mechanicsburg,PA,40.2101972,-77.0047276,40.5908,-77.2098,1,"Mechanicsburg, PA",Northeast,142.0,3900.771344221221,260.37759497604634,260.37759497604634,Temperate
HT_TN_Memphis,Memphis,TN,35.1460249,-90.0517638,35.7478,-86.6923,1,"Memphis, TN",South,89.0,2901.4592165265212,1537.0312529443634,778.6307926512401,Subtropical
HT_CA_Menlo_Park,Menlo Park,CA,37.4519671,-122.177992,36.1162,-119.6816,1,"Menlo Park, CA",West,19.0,41.70069255431085,4131.551088062812,41.70069255431085,Subtropical
HT_CA_Merced,Merced,CA,37.1641544,-120.7678602,36.1162,-119.6816,1,"Merced, CA",West,28.0,161.05310198037748,4025.5529619354475,161.05310198037748,Subtropical
HT_FL_Merritt_Island,Merritt Island,FL,28.2662775,-80.6636984,27.9947,-81.7603,1,"Merritt Island, FL",South,8.0,4005.7058801014405,1508.862516975012,1441.2999156445399,Tropical/Subtropical
HT_TX_Mesquite,Mesquite,TX,32.7666103,-96.599472,31.9686,-99.9018,3,"Mesquite, TX",South,153.0,2405.7158238129396,2193.8678919212566,353.27789616353346,Tropical/Subtropical
HT_FL_Miami,Miami,FL,25.7741566,-80.1935973,27.9947,-81.7603,1,"Miami, FL",South,23.0,4175.405919035056,1753.0852404957823,1558.3657898479512,Tropical/Subtropical
HT_IN_Middlebury,Middlebury,IN,41.6750714,-85.7060263,39.8494,-86.2604,1,"Middlebury, IN",Midwest,251.0,3153.136957197862,986.5188975286175,986.5188975286175,Temperate
HT_HI_Mililani,Mililani,HI,21.4508308,-158.0095783,21.489,-157.9629,1,"Mililani, HI",Alaska/Hawaii,223.0,3860.2994883833567,7997.5316677896,3860.2994883833567,Tropical/Subtropical
